coap.version,coap.type,coap.token_len,coap.mid,coap.opt.name,coap.opt.length,coap.opt.length_ext,coap.code,coap.payload_length,coap.opt.desc,coap.opt.delta,coap.opt.proxy_uri,attack
1,0,2,41561,2,2,11,2,288,1,1,6,1
1,2,2,41561,1,1,8,65,-1,2,2,6,0
1,0,2,10913,2,2,11,2,436,1,1,6,1
1,2,2,10913,1,1,8,65,-1,2,2,6,0
1,0,2,63467,2,2,11,3,13,1,1,8,0
1,2,2,63467,-1,-1,-1,68,-1,-1,-1,-1,0
1,0,2,5460,2,2,11,1,-1,1,1,6,0
1,2,2,5460,-1,-1,-1,69,436,-1,-1,-1,0
1,0,2,38483,2,2,11,1,-1,1,1,11,0
1,2,2,38483,-1,-1,-1,69,16,-1,-1,-1,0
1,0,2,23706,2,2,11,1,-1,1,1,8,0
1,2,2,23706,-1,-1,-1,69,13,-1,-1,-1,0
1,0,2,33035,2,2,11,2,459,1,1,6,1
1,2,2,33035,1,1,8,65,-1,2,2,6,0
1,0,2,51041,2,2,11,3,12,1,1,6,0
1,2,2,51041,-1,-1,-1,68,-1,-1,-1,-1,0
1,0,2,32779,2,2,11,3,16,1,1,11,0
1,2,2,32779,-1,-1,-1,68,-1,-1,-1,-1,0
1,0,2,48129,2,2,11,3,13,1,1,8,0
1,2,2,48129,-1,-1,-1,68,-1,-1,-1,-1,0
1,0,2,237,2,2,11,1,-1,1,1,6,0
1,2,2,237,-1,-1,-1,69,12,-1,-1,-1,0
1,0,2,58048,2,2,11,1,-1,1,1,11,0
1,2,2,58048,-1,-1,-1,69,16,-1,-1,-1,0
1,0,2,6044,2,2,11,1,-1,1,1,8,0
1,2,2,6044,-1,-1,-1,69,13,-1,-1,-1,0
1,0,2,21704,2,2,11,3,12,1,1,6,0
1,2,2,21704,-1,-1,-1,68,-1,-1,-1,-1,0
1,0,2,61797,2,2,11,3,16,1,1,11,0
1,2,2,61797,-1,-1,-1,68,-1,-1,-1,-1,0
1,0,2,39593,2,2,11,3,13,1,1,8,0
1,2,2,39593,-1,-1,-1,68,-1,-1,-1,-1,0
1,0,2,29241,2,2,11,3,12,1,1,6,0
1,2,2,29241,-1,-1,-1,68,-1,-1,-1,-1,0
1,0,2,29109,2,2,11,2,531,1,1,6,1
1,2,2,29109,1,1,8,65,-1,2,2,6,0
1,0,2,58397,2,2,11,3,16,1,1,11,0
1,2,2,58397,-1,-1,-1,68,-1,-1,-1,-1,0
1,0,2,55978,2,2,11,2,490,1,1,6,1
1,2,2,55978,1,1,8,65,-1,2,2,6,0
1,0,2,51832,2,2,11,3,13,1,1,8,0
1,2,2,51832,-1,-1,-1,68,-1,-1,-1,-1,0
1,0,2,12038,2,2,11,1,-1,1,1,6,0
1,2,2,12038,-1,-1,-1,69,490,-1,-1,-1,0
1,0,2,3297,2,2,11,1,-1,1,1,11,0
